
,AZSNR,"14843 N North Sight Blvd, Scottsdale, AZ 85260",
,AZPS1,"7000 E MAYO Blvd, Phoenix, AZ 85054",
,AZSNR,"14843 N North Sight Blvd, Scottsdale, AZ 85260",
,AZPCC,"12211 N Cave Creek Rd, Phoenix, AZ 85022",
,AZPTC,"12869 N Tatum Blvd, Phoenix, AZ 85032",
,AZSFV,"11275 E Via Linda, Scottsdale, AZ 85259",
,AZMGM,"1954 E McKellips Rd, Mesa, AZ 85203",
,AZMG6,"1728 S Greenfield Rd, Mesa, AZ 85206",
,AZMS6,"1558 S Signal Butte Rd, Mesa, AZ 85209",
,AZMEB,"9101 E Baseline Rd, Mesa, AZ 85209",
,AZMLU,"2740 E University Dr, Mesa, AZ 85213",
,AZGVP,"3025 S Val Vista Dr, Gilbert, AZ 85295",
,AZGHP,"3300 S Higley Rd, Gilbert, AZ 85297",
,AZGPG,"7540 S Power Rd, Gilbert, AZ 85297",
,AZQER,"20722 E Riggs Rd, Queen Creek, AZ 85142",
,AZQSQ,"20610 S Signal Butte Rd, Queen Creek, AZ 85142",
,AZMA6,"1661 S Alma School Rd, Mesa, AZ 85210",
,AZMGB,"2156 E Baseline Rd, Gilbert, AZ 85204",
,AZCCR,"1970 E Ray Rd, Chandler, AZ 85225",
,AZCRR,"4949 W Ray Rd, Chandler, AZ 85226",
,AZSLW,"13644 N Litchfield Rd, Surprise, AZ 85379",
,AZCGO,"4185 S Gilbert Rd, Chandler, AZ 85249",
,AZPLD,"10160 W Lake Pleasant Pkwy, Peoria, AZ 85382",
,AZS3B,"16750 W Bell Rd, Surprise, AZ 85374",
,AZGPM,"15277 W McDowell Rd, Goodyear, AZ 85395",
,AZADT,"3005 N Dysart Rd, Avondale, AZ 85392",
,AZG51,"20255 North 59th Ave, Glendale, AZ 85308",
,AZG5T,"5860 W Thunderbird Rd, Glendale, AZ 85306",
,AZG5O,"5070 W Olive Ave, Glendale, AZ 85302",
,AZP8T,"8440 W Thunderbird Rd, Peoria, AZ 85381",
,AZP7B,"2814 W Bel Rd, Phoenix, AZ 92508",
,AZP7E,"7400 W Encanto Blvd, Phoenix, AZ 85035",
,AZG8C,"5070 N 83rd Ave, Glendale, AZ 85305",
,AZPCW,"1 E Washington St, Phoenix, AZ 85004",
,AZPCO,"3110 N Central Ave, Phoenix, AZ 85012",
,AZG4G,"4335 W Glendale Ave, Glendale, AZ 85301",
,AZP1B,"1812 W Baseline Rd, Phoenix, AZ 85041",
,AZL5B,"5910 W Baseline Rd, Laveen, AZ 85339",
,AZT1W,"1727 W Ranch Rd, Tempe, AZ 85284",
,AZTMW,"1840 E Warner Rd, Tempe, AZ 85284",
,AZTRG,"750 E Guadalupe Rd, Tempe, AZ 85283",
,CAFSC,"2420 E Chapman Ave, Fullerton, CA 92831",
,CAHNC,"12120 E Carson St, Hawaiian Gardens, CA 90716",
,CALGC,"701 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012",
,CASTB,"1501 N Tustin Ave, Santa Ana, CA 92705",
,CAWSW,"11830 E Whittier Blvd, Whittier, CA 90601",
,CASSA,"93 Via Pico Plaza, San Clemente, CA 92672",
,CAMMM,"39400 Murrieta Hot Springs, Murrieta, CA 92563",
,CAWWT,"35914 Winchester Road, Winchester, CA 92596",
,CAL1R,"31564 Grape St, Lake Elsinore, CA 92532",
,CAJP6,"8051 Mission Blvd, Jurupa Valley, CA 92509",
,CARTA,"335 E Alessandron Blvd, Riverside, CA 92508",
,CATMT,"32413 Temecula Pkwy, Temecula, CA 92592",
,CAEEG,"780 Garden View Ct, Encinitas, CA 92024",
,CALAW,"27702 Antonio Parkway, Ladera Ranch, CA 92694",
